Instance,Run,Score,Runtime
data/large3.in,11,32,0.8673505783081055
data/large3.in,12,30,0.9626410007476807
data/large3.in,13,32,0.7207210063934326
data/large3.in,14,29,0.7178082466125488
data/large3.in,15,31,0.5822498798370361
data/large3.in,16,30,0.5743892192840576
data/large3.in,17,34,0.5097665786743164
data/large3.in,18,33,0.9872372150421143
data/large3.in,19,29,0.6117637157440186
data/large3.in,20,30,0.8744497299194336
data/large4.in,1,199,26.93637251853943
data/large4.in,2,198,12.473189115524292
data/large4.in,3,194,19.666172981262207
data/large4.in,4,200,27.48284888267517
data/large4.in,5,197,16.519537448883057
data/large4.in,6,196,12.776898384094238
data/large4.in,7,199,25.956564903259277
data/large4.in,8,198,16.24948787689209
data/large4.in,9,192,19.886119842529297
data/large4.in,10,199,24.9290931224823
data/large4.in,11,201,19.92447066307068
data/large4.in,12,199,21.78605031967163
data/large4.in,13,203,29.9077889919281
data/large4.in,14,202,22.770501852035522
data/large4.in,15,193,18.388278007507324
data/large4.in,16,200,28.001360416412354
data/large4.in,17,202,42.824023723602295
data/large4.in,18,194,21.833325624465942
data/large4.in,19,201,19.382999658584595
data/large4.in,20,202,16.130524158477783
data/large5.in,1,13,0.056465864181518555
data/large5.in,2,12,0.13011407852172852
data/large5.in,3,13,0.11048316955566406
data/large5.in,4,12,0.029958009719848633
data/large5.in,5,12,0.04247117042541504
data/large5.in,6,11,0.03607058525085449
data/large5.in,7,11,0.0324554443359375
data/large5.in,8,13,0.05606484413146973
data/large5.in,9,12,0.023096323013305664
data/large5.in,10,12,0.03891324996948242
data/large5.in,11,11,0.07183074951171875
data/large5.in,12,12,0.06508541107177734
data/large5.in,13,11,0.08806300163269043
data/large5.in,14,11,0.03656888008117676
data/large5.in,15,14,0.04677581787109375
data/large5.in,16,12,0.0480802059173584
data/large5.in,17,10,0.04778861999511719
data/large5.in,18,13,0.04070401191711426
data/large5.in,19,12,0.039444684982299805
data/large5.in,20,13,0.04304647445678711
data/large6.in,1,13,0.10470771789550781
data/large6.in,2,11,0.5078461170196533
data/large6.in,3,12,0.09579682350158691
data/large6.in,4,13,0.2749955654144287
data/large6.in,5,12,0.10112881660461426
data/large6.in,6,11,0.1403043270111084
data/large6.in,7,11,0.2022862434387207
data/large6.in,8,12,0.10273098945617676
data/large6.in,9,11,0.19133543968200684
data/large6.in,10,13,0.1967308521270752
data/large6.in,11,11,0.1945030689239502
data/large6.in,12,10,0.12106585502624512
data/large6.in,13,11,0.14781904220581055
data/large6.in,14,10,0.1315760612487793
data/large6.in,15,12,0.10897469520568848
data/large6.in,16,12,0.09656262397766113
data/large6.in,17,11,0.19835638999938965
data/large6.in,18,12,0.2520923614501953
data/large6.in,19,13,0.3259100914001465
data/large6.in,20,13,0.20168328285217285
data/large7.in,1,240,56.84161114692688
data/large7.in,2,266,60.175965785980225
data/large7.in,3,230,45.72018504142761
data/large7.in,4,231,59.65285134315491
data/large7.in,5,328,60.07864236831665
data/large7.in,6,233,54.23283100128174
data/large7.in,7,237,47.7897629737854
data/large7.in,8,239,60.318686962127686
data/large7.in,9,231,52.82551717758179
data/large7.in,10,277,60.02124309539795
data/large7.in,11,320,60.266589641571045
data/large7.in,12,276,60.21370720863342
data/large7.in,13,317,60.135053396224976
data/large7.in,14,268,60.407503843307495
data/large7.in,15,247,60.16087627410889
data/large7.in,16,227,57.68783211708069
data/large7.in,17,465,60.13824677467346
data/large7.in,18,236,50.83792781829834
data/large7.in,19,353,60.071091175079346
data/large7.in,20,303,60.2418487071991
data/large8.in,1,8,0.021004676818847656
data/large8.in,2,10,0.0254209041595459
data/large8.in,3,10,0.021309375762939453
data/large8.in,4,10,0.018997907638549805
data/large8.in,5,9,0.010536670684814453
data/large8.in,6,10,0.016651630401611328
data/large8.in,7,10,0.031177043914794922
data/large8.in,8,8,0.04901123046875
data/large8.in,9,10,0.031000375747680664
data/large8.in,10,10,0.040962934494018555
data/large8.in,11,13,0.025243520736694336
data/large8.in,12,12,0.03300023078918457
data/large8.in,13,10,0.040505170822143555
data/large8.in,14,9,0.02387857437133789
data/large8.in,15,7,0.03649091720581055
data/large8.in,16,13,0.03429532051086426
data/large8.in,17,11,0.013998031616210938
data/large8.in,18,11,0.06416821479797363
data/large8.in,19,8,0.026996850967407227
data/large8.in,20,11,0.016997575759887695
data/large9.in,1,29,1.1054887771606445
data/large9.in,2,36,0.7928345203399658
data/large9.in,3,31,0.5891077518463135
data/large9.in,4,28,0.9634120464324951
data/large9.in,5,29,0.7624015808105469
data/large9.in,6,27,1.3110415935516357
data/large9.in,7,33,0.4888265132904053
data/large9.in,8,32,1.2878022193908691
data/large9.in,9,34,0.6803393363952637
data/large9.in,10,33,0.5995750427246094
data/large9.in,11,28,0.7402212619781494
data/large9.in,12,30,1.0580687522888184
data/large9.in,13,30,0.7438492774963379
data/large9.in,14,26,0.9221234321594238
data/large9.in,15,30,0.5975303649902344
data/large9.in,16,28,0.8440721035003662
data/large9.in,17,29,0.8396873474121094
data/large9.in,18,28,0.8571288585662842
